,mu,sigma,t_df,t_loc,t_scale
count,0.0,0.0,498.0,498.0,498.0
mean,,,3.3591378393680276,0.0007941099643028448,0.012573460866062926
std,,,0.3778504853130009,0.0003694972155373783,0.003978359121728415
min,,,2.01,-0.001073354012184793,0.006953509658745301
25%,,,3.1019061830522014,0.0006214969219789936,0.010066988793538088
50%,,,3.349120195007563,0.0007843458637602934,0.011671978197869755
75%,,,3.593747724541529,0.0009555736123020772,0.014072001640877681
max,,,5.123408595953933,0.0038584271368998745,0.04266977639489594
